Megnevezés;Eredeti elõirányzat
A 2007-2013. évek közötti operatív programok visszaforgó pénzeszközeinek felhasználása és kezelése (K304040603);9109400000
Nemzetközi és egyéb kötelezettségek kiadásai (PM) (K304040604);433000000
Polgári Mûvelõdésért Oktatási, Kulturális és Tudományos Alapítvány pénzbeli vagyoni juttatása (K304040605);300000000
Szentháromság téri ingatlanberuházással összefüggõ mûködési kiadások (K304040606);389500000
Európai Területi Együttmûködés (2014-2020) kiadásai (K304040607);490000000
Európai Területi Együttmûködés (2021-2027) kiadásai (K304040608);694600000
Külgazdasági- és külügyminisztérium (KKM) fejezeti kiadásai (K30405);2,42E+11
Külgazdasági és Külügyminisztérium központi igazgatása (K3040501);17208800000
Külképviseletek igazgatása (K3040502);90400300000
Információs Hivatal (IH) kiadásai (K3040503);21960900000
Stipendium Hungaricum és diaszpóra ösztöndíjak támogatása (K3040504);39590500000
Nemzetközi tagdíjak és európai uniós befizetések (K3040505);14436300000
Tõkealaphoz történõ hozzájárulás (K3040506);29810000000
Eximbank Zrt. Tõkeemelése (K3040507);10000000000
Külgazdasági fejlesztési célú szervezeti támogatások kiadásai (K3040508);8926500000
Egyéb kiadások (KKM) (K3040509);9571900000
Külügyminisztérium felügyelete alá tartozó szervezetek és szakmai programok támogatása (K304050901);1663400000
Protokoll kiadások (K304050902);651000000
Csángó-Magyar Együttmûködési Program Támogatása (K304050903);1000000000
Peres ügyek kiadásai (KKM) (K304050904);5000000
Kulturális diplomáciai projektek támogatása (K304050905);1010000000
Rendvédelmi szolgálati juttatás tartalék (K304050906);1200000000
Brexit Alkalmazkodási Tartalék (BAR) (K304050907);4042500000
Miniszterelnökség fejezeti kiadásai (K30406);4,65E+11
Fõvárosi, megyei kormányhivatalok és járási kormányhivatalok kiadásai (K3040601);2,57E+11
Miniszterelnökség igazgatása (K3040602);30623900000
Egyházi célú központi költségvetési hozzájárulások (K3040603);54628200000
Egyházi közfeladatellátáshoz kapcsolódó céltámogatások és karitatív feladatok támogatása (K304060301);14373800000
Egyházi alapintézmény-mûködés, SZJA rendelkezés és kiegészítése (K304060302);19534400000
Átadásra nem került ingatlanok utáni járadék (K304060303);20720000000
Család- és ifjúságügyi célú központi költségvetési hozzájárulások (K3040604);29066800000
Nemzeti Tehetség Program (NTP) kiadásai (K304060401);4397500000
Erzsébet gyermek- és ifjúsági táborok támogatása (K304060402);4375600000
Waclaw Felczak Alap (K304060403);360900000
Gyermek, ifjúsági és családpolitikai programok (K304060404);2894400000
Gyermek és Ifjúsági Alapprogram támogatása (K304060405);80000000
Fiatalok elsõ sikeres nyelvvizsgájának támogatása (K304060406);1983300000
Fiatalok vezetõi engedélyének megszerzésével összefüggõ hozzájárulás (K304060407);1137200000
Nagycsaládosok személygépkocsi-szerzési támogatása (K304060408);12493200000
GYES-en és GYED-en lévõk hallgatói hitelének célzott támogatása (K304060409);440000000
Esélyteremtõ, önkéntes és kríziskezelõ programok, valamint feladatok támogatása (K304060410);504700000
Család-és ifjúságügyi társadalmi, civil és egyéb szervezetek, programok, feladatok támogatása (K304060411);400000000
Nonprofit, társadalmi, civil szervezetek és köztestületek támogatása (K3040605);17232000000
Nemzetiségi célú költségvetési támogatások (K3040606);9521400000
Nemzetiségi szakmai támogatások (K304060601);5749500000
Országos nemzetiségi önkormányzatok támogatása (K304060602);3771900000
Kulturális fejlesztési, örökségvédelmi és egyéb feladatok támogatása (K3040607);13274000000
Nemzeti Együttmûködési Alap (NEA) kiadásai (K3040608);10869200000
Nemzeti Közszolgálati Egyetem (NKE) kiadásai (K3040609);15654500000
